Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5487250775,10.0682765906,-9.1588139279,-4.4780236102,-4.5524984951,0.5514081368,7.349917421,-10.450707591,-4.4047812128,1.1474882371,-1.6685230044,3.4829657937,4.4269937596,-6.71000525,5.4888331099,-5.4127987661,16.8276254477,12.5019481538,10.2996230074,7.3333242832,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4958382438,7.6302666251,3.4025516319,4.4288477773,7.8084861584,1.2143996715,11.3838580101,-0.3400762202,4.3692465026,0.8084395432
Botswana,,,,,,,,,,,,,,,,0.5005877285,3.6405074696,16.1810103151,16.6739234774,0.1785629885,8.4066911004,0.8983739639,-5.350546372,3.4106198457,18.6020888014,6.2338958855,8.4070611124,26.4671494835,12.1633980892,9.5570626956,4.8137346165,-3.7335231458,4.7597559029,-13.6773841093,9.4240864148,0.3715087189,14.0564672075,6.5953714273,1.1980057639,-2.5454848201,4.4475185906,-8.7163937361,-1.7904366061,-2.1723470523,6.2586253801,3.5893948343,6.8386982627,-5.9888721097,-7.4554039317,18.131568004
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,2.0795197465,4.2791518036,4.8089838489,-0.740211278,0.6224674477,5.0892656826,1.1322912469,1.9686035934,-2.2873420404,1.7996245035,2.6518731797,-3.808796413,3.4353757716,4.2318911048,3.9177922397,1.7851342002,3.897142324,3.5794083955,0.3576691584,-3.1453069859,-3.2230189936,-1.3395168108,0.8935309375,3.0940209829,2.6529852462,0.0969252616,2.7101229146,2.0994742438,5.0167731807,4.1522955413,0.2977393753,1.8109803481,3.1414995111,3.9909810021,1.7870061413,2.1146102654,1.7158543587,-0.6523118635,-5.1014939723,4.1996425561
Switzerland,,,,,,,,,,,,,,,,,,,,,1.5691057688,-1.0441622543,0.3339448694,3.5519903682,1.2589536111,3.170247026,1.0595980383,1.8668043238,0.7706403781,2.0322224714,-1.5629743627,-2.1396633137,1.5838969779,1.5999063998,2.3823345297,0.4463491424,3.6566763935,3.7683802459,1.6404415307,3.4018170143,-2.9598997938,-1.5607311058,4.5728830524,1.3916135677,4.8299665186,2.3982603968,-5.0472073033,-8.772939569,8.061203211,7.8173050097
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,9.8136842113,-1.9995692136,-8.7796078565,-2.0054132049,-26.9442340958,7.7380108356,16.4085828126,-1.1051809302,9.0520433508,6.9666538127,3.214688885,-19.4683909017,-7.0356236549,1.8295463015,-2.7485652679,8.663800321,9.6261462229,8.4510338802,6.7565611829,3.4298532617,8.4021628282,11.7051843891,6.4862842342,5.5749360615,13.2470031738,2.1393120363,4.65384741,3.2234337749,-3.5691497677,0.778227859,1.9816239184,1.5643950282,1.8750535972,3.6120529458,6.4045450118,-1.904618936,7.3171984867,3.1516309049,3.3690232368,9.9736391282
China,,,,,,,,,,,,,,,,,,,,4.1662854187,2.558601671,7.7268052829,17.3723366393,17.4640372765,15.9428576334,10.02955588,7.1959539777,11.7670701831,1.8370889553,2.6960736251,8.4108653509,13.5490249348,13.1004376846,13.2758252714,8.7085926728,8.3208281109,8.5006717989,6.2102303684,5.5826754882,6.0128526792,7.6473350636,9.557486554,9.6707648988,7.7313487858,9.4661379763,10.238926694,12.4869800008,4.0262133169,17.3398466731,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7382713935,4.4141870376
