Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0500604301,0.0563674822,0.1110346206,0.4101206848,0.6733435412,4.378272095,8.8905391589,11.3423986595,15.255394371,18.8187590408,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.5813195294,1.2592178378,1.4535758402,1.9403781933,2.9156986952,3.895906065,6.8328020179,9.7805278883,14.6971721171,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1258922234,0.2502741534,0.4352852902,0.4636350965,0.9225410431,1.8377377536,3.0548052343,6.7110874767,9.8778524281,20.845982639,30.2163466049,31.6509394163,48.82,55.9,64.73,68.71,72.16,75.16,78,79,82
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0160308305,0.0311662407,0.0829414976,0.094696004,0.1057619088,0.1945005284,0.343526263,0.4869717045,0.6259402294,0.7813171751,0.9536114493,1.2700411592,1.62,2.26,4,6.5
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0972772676,0.1940565147,0.3869139511,0.5783299758,1.3443077497,3.8256564205,5.7149878414,11.3820049364,22.6687461463,30.5920406509,39.1724308555,42.9575247202,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,88.72
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0172336008,0.0749870526,0.1426875655,0.233914189,1.1047438738,3.7046923559,4.4293906967,6.8237257326,7.8983929372,8.8655534607,11.4831977789,14.8449283655,17.66,20.82,27.72,31.4
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.0003606736,0.001768954,0.0017385332,0.0102684632,0.0202385545,0.199523843,0.4917056791,0.6461140167,1.5916412604,2.1953597309,4.6344750878,5.843942092,7.3759849563,9.4511906256,10.18,11.23,12.5
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0051180354,0.0164007513,0.0348335861,0.0438336412,0.0861612756,0.1102179594,0.125272771,0.8233716344,1.4621885356,2.6704436738,4.2607969152,4.4602283447,4.8344426376,5.994255161,7.2,10.8,18.8,24.6,29.03
"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0009757914,0.0063832696,0.0313196382,0.0614668989,0.0904802447,0.1479873769,0.2904452783,0.6412650375,0.8389456115,2.7199997147,4.0378851071,11.92,12.75,13.66,16.03,18.01,20,21.6
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0.009017718,0.0087742363,0.0254950285,0.1367119411,0.1578152893,0.2270901376,,,,,0.41,0.47,0.54,0.61
